query,Description,COG
recD_2_recD_recD_1,A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD,L
recB,"A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit contributes ATPase, 3'-5' helicase, exonuclease activity and loads RecA onto ssDNA",L
ptrA,Belongs to the peptidase M16 family,O
group_5885,Prepilin peptidase dependent protein c,NU
group_4753,"Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis",F
lgt,Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins,M
ptsP,Belongs to the PEP-utilizing enzyme family,T
rppH,"Accelerates the degradation of transcripts by removing pyrophosphate from the 5'-end of triphosphorylated RNA, leading to a more labile monophosphorylated state that can stimulate subsequent ribonuclease cleavage",L
mutH,Sequence-specific endonuclease that cleaves unmethylated GATC sequences. It is involved in DNA mismatch repair,L
group_4441,"membrane protein, terc",P
ygdR_2,(Lipo)protein,S
tas,Aldo keto reductase,C
lplT,Catalyzes the facilitated diffusion of 2-acyl-glycero-3- phosphoethanolamine (2-acyl-GPE) into the cell,U
aas_aas_2_aas_1,Plays a role in lysophospholipid acylation. Transfers fatty acids to the 1-position via an enzyme-bound acyl-ACP intermediate in the presence of ATP and magnesium. Its physiological function is to regenerate phosphatidylethanolamine from 2-acyl-glycero-3-phosphoethanolamine (2-acyl-GPE) formed by transacylation reactions or degradation by phospholipase A1,I
galR_1,transcriptional regulator,K
nanR_1,Transcriptional,K
licC_1_gmuC_licC_3,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active - transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane",G
ascG_2_ascG_1,Transcriptional regulator,K
group_2803,"PFAM Cupin 2, conserved barrel domain protein",S
lacF,Binding-protein-dependent transport systems inner membrane component,P
dasC,PFAM binding-protein-dependent transport systems inner membrane component,P
msiK_msmX_1,Belongs to the ABC transporter superfamily,P
yesO,ABC transporter substrate-binding protein,G
kduD_1,Enoyl-(Acyl carrier protein) reductase,IQ
kdgM,oligogalacturonate-specific porin,M
thlA,Catalyzes the final step of fatty acid oxidation in which acetyl-CoA is released and the CoA ester of a fatty acid two carbons shorter is formed,I
rhtB_1,LysE type translocator,E
group_3969,Domain of unknown function (DUF4433),S
group_5189,-,-
group_1413,-,-
group_1800,silverDB,L
lysS,Belongs to the class-II aminoacyl-tRNA synthetase family,J
prfB,Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA,J
dsbC,Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process,O
xerD,recombinase XerD,D
fldB,Low-potential electron donor to a number of redox enzymes,C
group_4726,hemolysin iii,S
gcvH,The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein,E
gcvT,The glycine cleavage system catalyzes the degradation of glycine,E
pepP,aminopeptidase,E
group_5240,Belongs to the UPF0149 family,S
zapA,"Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division",D
serA_2_serA_1_serA,Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family,EH
rpiA,Catalyzes the reversible conversion of ribose-5- phosphate to ribulose 5-phosphate,G
argP_2_argP_1,Controls the transcription of genes involved in arginine and lysine metabolism,K
fbaA,Aldolase,G
epd,Belongs to the glyceraldehyde-3-phosphate dehydrogenase family,G
tktA_2_tktA_1_tktA,"Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate",G
loiP,metalloprotease,O
speB_1_speB_2_speB,Belongs to the arginase family,E
speA_1_speA_speA_2,Catalyzes the biosynthesis of agmatine from arginine,H
group_3831,Virulence promoting factor,S
galP_1_galP_2_galP,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family,U
sprT,Belongs to the SprT family,S
endA,endonuclease I,L
gshB,Belongs to the prokaryotic GSH synthase family,H
group_5465,Belongs to the UPF0301 (AlgH) family,K
group_5552,integral membrane protein,S
group_2995,Belongs to the UPF0235 family,S
rdgB,"Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions",F
plsC,Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family,I
parC,Topoisomerase IV is essential for chromosome segregation. It relaxes supercoiled DNA. Performs the decatenation events required during the replication of a circular DNA molecule,L
mdaB,modulator of drug activity B,S
ygiN,monooxygenase,S
katG_1_katG_2_katG,Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity,P
parE,Topoisomerase IV is essential for chromosome segregation. It relaxes supercoiled DNA. Performs the decatenation events required during the replication of a circular DNA molecule,L
group_5152,esterase,S
cpdA_1,"Hydrolyzes cAMP to 5'-AMP. Plays an important regulatory role in modulating the intracellular concentration of cAMP, thereby influencing cAMP-dependent processes",S
nudF,COG0494 NTP pyrophosphohydrolases including oxidative damage repair enzymes,L
ribB,"Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate",H
ubiK,protein conserved in bacteria,S
hldE,"Catalyzes the ADP transfer from ATP to D-glycero-beta-D- manno-heptose 1-phosphate, yielding ADP-D-glycero-beta-D-manno- heptose",H
glnE_2_glnE_1_glnE,"Involved in the regulation of glutamine synthetase GlnA, a key enzyme in the process to assimilate ammonia. When cellular nitrogen levels are high, the C-terminal adenylyl transferase (AT) inactivates GlnA by covalent transfer of an adenylyl group from ATP to specific tyrosine residue of GlnA, thus reducing its activity. Conversely, when nitrogen levels are low, the N-terminal adenylyl removase (AR) activates GlnA by removing the adenylyl group by phosphorolysis, increasing its activity. The regulatory region of GlnE binds the signal transduction protein PII (GlnB) which indicates the nitrogen status of the cell",H
ygiF,Adenylate cyclase,S
group_4949,sh3 domain protein,T
cca_1_cca_2_cca,"Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate. Also shows phosphatase, 2'- nucleotidase and 2',3'-cyclic phosphodiesterase activities. These phosphohydrolase activities are probably involved in the repair of the tRNA 3'-CCA terminus degraded by intracellular RNases",F
uppP,Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin,V
folB,"Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin",H
plsY,"Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP",I
tsaD,"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction",J
dnaG,RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication,L
mug,"Excises ethenocytosine and uracil, which can arise by alkylation or deamination of cytosine, respectively, from the corresponding mispairs with guanine in ds-DNA. It is capable of hydrolyzing the carbon-nitrogen bond between the sugar-phosphate backbone of the DNA and the mispaired base. The complementary strand guanine functions in substrate recognition. Required for DNA damage lesion repair in stationary-phase cells",L
crtE_2_crtE_1_crtE,Belongs to the FPP GGPP synthase family,H
crtI_1_crtI_2_crtI,Phytoene dehydrogenase,Q
group_5086,Fatty acid hydroxylase superfamily,I
btsT_1_btsT_btsT_2,Carbon starvation protein,T
group_3264,Protein of unknown function (DUF2442),S
group_4431,Protein of unknown function (DUF2884),S
group_2784,protein conserved in bacteria,S
trmB_1,catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA,J
mutY,a g-specific adenine glycosylase,L
mltC,Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and or cell division,M
citF_2_citX_citF_1_citF,Citrate lyase alpha subunit,H
citE_1_citE_2_citE,Belongs to the HpcH HpaI aldolase family,G
citB,Transcriptional Regulatory Protein,K
ccpA_1,transcriptional regulator,K
ptcB,"Phosphotransferase system, lactose cellobiose-specific IIB subunit",G
chbA_1,"PTS system, cellobiose-specific IIA component",G
lamB_2_lamB_3_lamB_1,Maltoporin (phage lambda and maltose receptor),G
group_3582,mechanosensitive ion channel,M
group_4573,UPF0114 protein,S
group_4226,-,-
group_2147,-,-
yghA_3_yghA_1_yghA_2,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases),IQ
exbD,"Biopolymer transport protein, ExbD",U
exbB,tonB-system energizer ExbB,U
metC_2_metC_3_metC_1,cystathionine beta-lyase,E
yghB,Pfam SNARE associated Golgi protein,S
rclR_rhaS_1,transcriptional regulator,K
yqhD_1_yqhD_yqhD_2,alcohol dehydrogenase,C
dkgA,reductase,S
group_4005,Antibiotic biosynthesis monooxygenase,S
treB,pts system,G
treC,COG0366 Glycosidases,G
dgaE,selenium transferase,E
group_4775,Domain of unknown function (DUF4310),S
group_3918,cytoplasmic protein,S
group_2605,Glycine-rich SFCGS,S
cybC,Cytochrome b(562),C
pmbA,Protease involved in proteolytic processing of the antibiotic Microcin B17 and in sensitivity to the DNA gyrase inhibitor LetD,S
group_5575,Belongs to the UPF0307 family,S
mpl_mpl_1_mpl_2,Reutilizes the intact tripeptide L-alanyl-gamma-D- glutamyl-meso-diaminopimelate by linking it to UDP-N- acetylmuramate,M
fbp,"D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1",G
tar_2_trg_4_trg_3,"chemotaxis, protein",NT
yjfF,Belongs to the binding-protein-dependent transport system permease family,G
ytfT,Belongs to the binding-protein-dependent transport system permease family,G
fruK,import. Responsible for energy coupling to the transport system,P
ytfQ,Periplasmic binding protein LacI transcriptional regulator,G
yfcQ,Part of the yfcOPQRSUV fimbrial operon. Could contribute to adhesion to various surfaces in specific environmental niches. Increases adhesion to eukaryotic T24 bladder epithelial cells in the absence of fim genes,NU
papC_2_papC_papC_1,Usher protein,NU
tamA_2_tamA_1_tamA,COG0729 Outer membrane protein,M
group_3722,Protein of unknown function (DUF1107),S
cysQ,"3'(2'),5'-bisphosphate nucleotidase",P
cpdB_2_cpdB_cpdB_1,Belongs to the 5'-nucleotidase family,F
group_341,Lysozyme inhibitor LprI,S
rhaR_3_rhaR_1,transcriptional regulator,K
cycA_2_cycA_cycA_1,amino acid,E
rplI,Binds to the 23S rRNA,J
rpsR,"Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit",J
priB,Binds single-stranded DNA at the primosome assembly site (PAS). During primosome assembly it facilitates the complex formation between PriA and DnaT,L
rpsF,Binds together with S18 to 16S ribosomal RNA,J
smc_2_tar_2_tar_1_smc_1,"chemotaxis, protein",NT
yjfC_2_yjfC_yjfC_1,Glutathionylspermidine synthase,E
group_5728,Membrane,S
rlmB,Specifically methylates the ribose of guanosine 2251 in 23S rRNA,J
purA,Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP,F
hflC_1_hflC_2_hflC,HflC and HflK could regulate a protease,O
hflK,HflC and HflK could encode or regulate a protease,O
hflX,GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis,S
hfq,"RNA chaperone that binds small regulatory RNA (sRNAs) and mRNAs to facilitate mRNA translational regulation in response to envelope stress, environmental stress and changes in metabolite concentrations. Also binds with high specificity to tRNAs",J
miaA,"Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)",F
tsaE,ATPase or kinase,S
queG,"Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)",C
orn_orn_2,3'-to-5' exoribonuclease specific for small oligoribonucleotides,A
epmA,"With EpmB is involved in the beta-lysylation step of the post-translational modification of translation elongation factor P (EF-P). Catalyzes the ATP-dependent activation of (R)-beta-lysine produced by EpmB, forming a lysyl-adenylate, from which the beta- lysyl moiety is then transferred to the epsilon-amino group of a conserved specific lysine residue in EF-P",J
rcsA_2_rcsA_1,regulatory protein,K
efp,"Involved in peptide bond synthesis. Alleviates ribosome stalling that occurs when 3 or more consecutive Pro residues or the sequence PPG is present in a protein, possibly by augmenting the peptidyl transferase activity of the ribosome",J
epmB,4Fe-4S single cluster domain,C
groL,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions,O
groS,Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter,O
aspA,Aspartate ammonia-lyase,E
dcuA_1_dcuA_2_dcuA,Responsible for the transport of C4-dicarboxylates from the periplasm across the inner membrane,S
group_4505,Tetratricopeptide repeat,O
gltP,Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family,U
acs_2_acs_1_acs,"Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA",I
actP,Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,S
nhaK_nhaK_2_nhaK_1,NhaP-type Na H and K H antiporters,P
ghxP,PFAM Xanthine uracil vitamin C permease,S
soxR,redox-sensitive transcriptional activator SoxR,K
pdeC_1_pdeC_2_pdeC_pdeC_3,signal transduction protein containing sensor and EAL,T
group_3066,membrane,S
