subject,gene,annotation,group
VFG037170(gb|WP_001081754), (plc1, phospholipase C [Phospholipase C (VF0470, - Exotoxin (VFC0235
VFG037292(gb|WP_000603878), (basG, acinetobactin biosynthesis protein BasF [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037294(gb|WP_000603864), (basG, acinetobactin biosynthesis protein BasF [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037302(gb|WP_001018264), (basF, aryl carrier protein BasF [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037300(gb|WP_001018265), (basF, aryl carrier protein BasF [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037303(gb|YP_001085401), (basF, aryl carrier protein BasF [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037306(gb|WP_001018266), (basF, aryl carrier protein BasF [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037308(gb|WP_001018257), (basF, aryl carrier protein BasF [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037313(gb|WP_000744364), (entE, non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037314(gb|WP_000744369), (entE, non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037315(gb|WP_000744371), (entE, non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037316(gb|WP_000744381), (entE, non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037317(gb|YP_001085402), (entE, non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037320(gb|WP_020753358), (entE, non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037322(gb|WP_000744367), (entE, non-ribosomal peptide synthetase adenylate-forming enzyme of acinetobactin synthesis [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037330(gb|WP_001177743), (basD, acinetobactin biosynthesis protein BasD [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037328(gb|WP_001177728), (basD, acinetobactin biosynthesis protein BasD [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037329(gb|WP_001177727), (basD, acinetobactin biosynthesis protein BasD [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037331(gb|YP_001085404), (basD, acinetobactin biosynthesis protein BasD [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037333(gb|WP_138140467), (basD, acinetobactin biosynthesis protein BasD [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037334(gb|WP_086225834), (basD, acinetobactin biosynthesis protein BasD [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037336(gb|WP_001177738), (basD, acinetobactin biosynthesis protein BasD [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037339(gb|YP_005799710), (basD, acinetobactin biosynthesis protein BasD [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037344(gb|WP_000717759), (basC, acinetobactin biosynthesis protein BasC [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037342(gb|WP_000717756), (basC, acinetobactin biosynthesis protein BasC [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037345(gb|YP_001085405), (basC, acinetobactin biosynthesis protein BasC [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037348(gb|WP_000717757), (basC, acinetobactin biosynthesis protein BasC [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037350(gb|WP_000717753), (basC, acinetobactin biosynthesis protein BasC [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037355(gb|WP_001073031), (bauA, TonB-dependent siderophore receptor BauA [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037356(gb|WP_001016286), (bauA, TonB-dependent siderophore receptor BauA [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037357(gb|WP_001016285), (bauA, TonB-dependent siderophore receptor BauA [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037358(gb|WP_001073030), (bauA, TonB-dependent siderophore receptor BauA [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037359(gb|YP_001085406), (bauA, TonB-dependent siderophore receptor BauA [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037362(gb|WP_020753359), (bauA, TonB-dependent siderophore receptor BauA [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037364(gb|WP_043961076), (bauA, TonB-dependent siderophore receptor BauA [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037372(gb|WP_001104139), (bauB," ferric siderophore ABC transporter, periplasmic siderophore-binding protein [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037370(gb|WP_001104131), (bauB," ferric siderophore ABC transporter, periplasmic siderophore-binding protein [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037373(gb|YP_001085407), (bauB," ferric siderophore ABC transporter, periplasmic siderophore-binding protein [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037376(gb|WP_001104132), (bauB," ferric siderophore ABC transporter, periplasmic siderophore-binding protein [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037386(gb|WP_000582115), (bauE," ferric siderophore ABC transporter, ATP-binding protein BauE [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037384(gb|WP_000582117), (bauE," ferric siderophore ABC transporter, ATP-binding protein BauE [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037387(gb|YP_001085408), (bauE," ferric siderophore ABC transporter, ATP-binding protein BauE [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037390(gb|WP_000582116), (bauE," ferric siderophore ABC transporter, ATP-binding protein BauE [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037392(gb|WP_000582124), (bauE," ferric siderophore ABC transporter, ATP-binding protein BauE [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037395(gb|YP_005799714), (bauE," ferric siderophore ABC transporter, ATP-binding protein BauE [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037400(gb|WP_001223274), (bauC," ferric siderophore ABC transporter, permease protein BauC [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037398(gb|WP_001223285), (bauC," ferric siderophore ABC transporter, permease protein BauC [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037401(gb|YP_001085409), (bauC," ferric siderophore ABC transporter, permease protein BauC [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037404(gb|WP_001223271), (bauC," ferric siderophore ABC transporter, permease protein BauC [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037406(gb|WP_001223281), (bauC," ferric siderophore ABC transporter, permease protein BauC [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037411(gb|WP_001210787), (bauD," ferric siderophore ABC transporter, permease protein BauD [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037412(gb|WP_001210792), (bauD," ferric siderophore ABC transporter, permease protein BauD [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037414(gb|WP_012391956), (bauD," ferric siderophore ABC transporter, permease protein BauD [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037415(gb|YP_001085410), (bauD," ferric siderophore ABC transporter, permease protein BauD [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037417(gb|WP_085916975), (bauD," ferric siderophore ABC transporter, permease protein BauD [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037418(gb|WP_020753360), (bauD," ferric siderophore ABC transporter, permease protein BauD [Acinetobactin (VF0467", - Nutritional/Metabolic factor (VFC0272
VFG037428(gb|WP_000939834), (basB, non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037426(gb|WP_085920665), (basB, non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037429(gb|YP_001085411), (basB, non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037432(gb|WP_139161446), (basB, non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037434(gb|WP_000939848), (basB, non-ribosomal peptide synthetase with condensation and peptidyl carrier protein domains [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037442(gb|WP_000910253), (basA, acinetobactin biosynthesis protein [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037440(gb|WP_000910246), (basA, acinetobactin biosynthesis protein [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037443(gb|YP_001085412), (basA, acinetobactin biosynthesis protein [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037446(gb|WP_000910243), (basA, acinetobactin biosynthesis protein [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037448(gb|WP_000910262), (basA, acinetobactin biosynthesis protein [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037456(gb|WP_000160878), (bauF, siderophore-interacting protein [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037454(gb|WP_000160888), (bauF, siderophore-interacting protein [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037457(gb|YP_001085413), (bauF, siderophore-interacting protein [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037460(gb|WP_000160884), (bauF, siderophore-interacting protein [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037462(gb|WP_000160883), (bauF, siderophore-interacting protein [Acinetobactin (VF0467, - Nutritional/Metabolic factor (VFC0272
VFG037467(gb|WP_001105559), (ABK1_RS04735, LysR family transcriptional regulator [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037468(gb|WP_001105542), (AB57_RS05095, LysR family transcriptional regulator [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037470(gb|WP_001105554), (ACICU_RS04565, LysR family transcriptional regulator [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037471(gb|YP_001083951), (A1S_0917, transcriptional regulator [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037474(gb|WP_001105562), (BJAB0715_RS05225, LysR family transcriptional regulator [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037476(gb|WP_001105546), (ABD1_RS04515, LysR family transcriptional regulator [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037478(gb|WP_001105560), (ABZJ_RS11145, LysR family transcriptional regulator [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037481(gb|WP_014538316), (AB57_RS05100, sigma-70 family RNA polymerase sigma factor [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037482(gb|WP_004748062), (ACICU_RS04570, sigma-70 family RNA polymerase sigma factor [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037483(gb|WP_002036559), (BJAB0715_RS05230, sigma-70 family RNA polymerase sigma factor [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037486(gb|WP_134815916), (ABSDF_RS10835, sigma-70 family RNA polymerase sigma factor [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037489(gb|WP_001240502), (AB57_RS05105, FecR domain-containing protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037490(gb|WP_001240499), (ACICU_RS04575, FecR domain-containing protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037491(gb|WP_001240501), (BJAB0715_RS05235, FecR domain-containing protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037496(gb|WP_085920715), (AB57_RS05110, TonB-dependent receptor [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037497(gb|WP_085947929), (ACICU_RS04580, TonB-dependent receptor [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037498(gb|WP_086378951), (BJAB0715_RS05240, TonB-dependent receptor [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037499(gb|WP_099959819), (BJAB0868_RS05185, TonB-dependent receptor [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037501(gb|WP_134815915), (ABSDF_RS10825, TonB-dependent receptor [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037502(gb|YP_005797900), (ABTW07_1004, hypothetical protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037503(gb|WP_086222635), (M3Q_RS06195, TonB-dependent receptor [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037504(gb|WP_001991318), (AB57_RS05115, transferrin-binding protein-like solute binding protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037505(gb|WP_002002089), (ACICU_RS04585, transferrin-binding protein-like solute binding protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037506(gb|WP_002004304), (BJAB0715_RS05245, transferrin-binding protein-like solute binding protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037509(gb|WP_012297258), (ABSDF_RS10820, transferrin-binding protein-like solute binding protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037512(gb|WP_079740461), (AB57_RS05120, porin family protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037513(gb|WP_085947930), (ACICU_RS04590, porin family protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037514(gb|WP_086225839), (BJAB0715_RS05250, porin family protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037517(gb|WP_134815976), (ABSDF_RS10815, porin family protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037518(gb|YP_005797902), (ABTW07_1006, hypothetical protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037520(gb|WP_000837763), (AB57_RS05125, energy transducer TonB [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037521(gb|WP_000837764), (ACICU_RS04595, TonB family protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037522(gb|WP_000837760), (BJAB0715_RS05255, energy transducer TonB [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037525(gb|WP_000837758), (ABSDF_RS10810, energy transducer TonB [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037528(gb|WP_002000381), (hemO, biliverdin-producing heme oxygenase [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037529(gb|WP_002062720), (hemO, biliverdin-producing heme oxygenase [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037530(gb|WP_002036588), (hemO, biliverdin-producing heme oxygenase [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037533(gb|WP_012297256), (hemO, biliverdin-producing heme oxygenase [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037537(gb|WP_000359621), (ACICU_RS04605, YbaN family protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037538(gb|WP_000359624), (BJAB0715_RS05265, YbaN family protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037541(gb|WP_000359625), (ABSDF_RS10800, YbaN family protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037544(gb|WP_000061141), (ABK1_RS04740, hypothetical protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037547(gb|WP_000061137), (ACICU_RS04610, hypothetical protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037546(gb|WP_000061139), (ABBFA_RS13340, hypothetical protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037550(gb|WP_000061140), (BJAB0715_RS05270, hypothetical protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037552(gb|WP_000061136), (ABD1_RS04520, hypothetical protein [HemO cluster (VF0636, - Nutritional/Metabolic factor (VFC0272
VFG037560(gb|WP_000790104), (csuA/B, Csu pilus major pilin subunit CsuA/B [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037561(gb|YP_001085247), (csuA/B, Csu pilus major pilin subunit CsuA/B [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037568(gb|YP_005799494), (csuA/B, Csu pilus major pilin subunit CsuA/B [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037570(gb|WP_000576999), (csuA, Csu pilus subunit CsuA [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037571(gb|WP_000577009), (csuA, Csu pilus subunit CsuA [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037574(gb|YP_001085246), (csuA, Csu pilus subunit CsuA [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037577(gb|WP_020753328), (csuA, Csu pilus subunit CsuA [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037579(gb|WP_000577005), (csuA, Csu pilus subunit CsuA [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037586(gb|WP_000876480), (csuB, Csu pilus subunit CsuB [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037584(gb|WP_000876475), (csuB, Csu pilus subunit CsuB [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037587(gb|YP_001085245), (csuB, Csu pilus subunit CsuB [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037590(gb|WP_020753327), (csuB, Csu pilus subunit CsuB [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037592(gb|WP_000876473), (csuB, Csu pilus subunit CsuB [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037599(gb|WP_001988023), (csuC, Csu pilus chaperone protein CsuC  [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037597(gb|WP_001986519), (csuC, Csu pilus chaperone protein CsuC  [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037598(gb|WP_001065473), (csuC, Csu pilus chaperone protein CsuC  [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037600(gb|YP_001085244), (csuC, Csu pilus chaperone protein CsuC  [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037603(gb|WP_153565311), (csuC, Csu pilus chaperone protein CsuC  [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037605(gb|WP_005128301), (csuC, Csu pilus chaperone protein CsuC  [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037610(gb|WP_000603294), (csuD, Csu pilus usher protein CsuD [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037612(gb|WP_000603301), (csuD, Csu pilus usher protein CsuD [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037613(gb|YP_001085243), (csuD, Csu pilus usher protein CsuD [Csu fimbriae (VF0461, - Biofilm (VFC0271
VFG037616(gb|WP_020753325), (csuD, Csu pilus usher protein CsuD [Csu fimbriae (VF0461, - Biofilm (VFC0271
