Gene,Annotation
yihT,Sulfofructosephosphate aldolase
yihS_2_yihS_1_yihS,Sulfoquinovose isomerase
nirD,Nitrite reductase (NADH) small subunit
frlC,Fructoselysine 3-epimerase
acuI_2_acuI_acuI_1,putative acrylyl-CoA reductase AcuI
mltB_2_mltB_1_mltB,Membrane-bound lytic murein transglycosylase B
chaB,Putative cation transport regulator ChaB
dcd,dCTP deaminase
cydX,Cytochrome bd-I ubiquinol oxidase subunit X
dld_1_dld_2_dld,Quinone-dependent D-lactate dehydrogenase
hisS_2_hisS_1_hisS,Histidine--tRNA ligase
patB_1_patB,Cystathionine beta-lyase PatB;hypothetical protein
group_5971,hypothetical protein
ynfM_1_ynfM_ynfM_2,hypothetical protein;Inner membrane transport protein YnfM
group_5969,hypothetical protein
lpp_lpp1,Major outer membrane lipoprotein Lpp;Major outer membrane lipoprotein Lpp 1
deoA_1_deoA_deoA_2_deoA_3,Thymidine phosphorylase
ybjI_ybjI_1_ybjI_2,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI;hypothetical protein
deoR_deoR_2_deoR_1,Deoxyribose operon repressor
ybdZ,hypothetical protein;Enterobactin biosynthesis protein YbdZ
ftsQ_2_ftsQ_1_ftsQ,Cell division protein FtsQ
group_5967,hypothetical protein
group_5963,hypothetical protein
dgoA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase
group_5962,2-ketogluconate reductase;hypothetical protein
amiC_amiC_1_amiC_2,N-acetylmuramoyl-L-alanine amidase AmiC
argA_2_argA_argA_1,Amino-acid acetyltransferase
recD_2_recD_recD_1,RecBCD enzyme subunit RecD;hypothetical protein
group_5957,hypothetical protein
kefF_1_kefF_2,Glutathione-regulated potassium-efflux system ancillary protein KefF;hypothetical protein
yhcO,putative protein YhcO
group_5953,hypothetical protein
pfkB,ATP-dependent 6-phosphofructokinase isozyme 2;hypothetical protein
zur,Zinc uptake regulation protein
def,Peptide deformylase
yqjI,Transcriptional regulator YqjI;hypothetical protein
group_5948,hypothetical protein
ydcY,hypothetical protein;putative protein YdcY
sad,Succinate semialdehyde dehydrogenase [NAD(P)+] Sad;hypothetical protein
tsr_4_trg_3_tar_2_tar_1_tsr_3_tsr_5,Methyl-accepting chemotaxis protein I;hypothetical protein;Methyl-accepting chemotaxis protein III;Methyl-accepting chemotaxis protein II
dppA_3_dppA_4_dppA_1,hypothetical protein;Periplasmic dipeptide transport protein
gor_2_sthA_1_gor,Glutathione reductase;Soluble pyridine nucleotide transhydrogenase
mpaA,Murein peptide amidase A
yteT_iolG_2,Putative oxidoreductase YteT;Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
ipdC_2_ipdC_ipdC_1,Indole-3-pyruvate decarboxylase;hypothetical protein
group_5946,hypothetical protein
cheY,hypothetical protein;Chemotaxis protein CheY
ohrB_2_ohrB_1,Organic hydroperoxide resistance protein OhrB
pcpR_1_nodD2_2_yidZ_1_yidZ_2_nodD2_1,PCP degradation transcriptional activation protein;Nodulation protein D 2;HTH-type transcriptional regulator YidZ
yagG_3_yagG_2,hypothetical protein;Putative glycoside/cation symporter YagG
yesR,hypothetical protein;Unsaturated rhamnogalacturonyl hydrolase YesR
ugpQ_2_ugpQ_ugpQ_1,Glycerophosphodiester phosphodiesterase cytoplasmic
yhhA,hypothetical protein;putative protein YhhA
cysJ,Sulfite reductase [NADPH] flavoprotein alpha-component
pncA_2_pncA_pncA_1,Nicotinamidase
rbsC_3_rbsC_1_rbsC_2,Ribose import permease protein RbsC
entD,Enterobactin synthase component D
tktA_2_tktA_1_tktA,Transketolase 1
lip1,Lipase 1;hypothetical protein
betT_1_betT_2_betT,High-affinity choline transport protein
betB,NAD/NADP-dependent betaine aldehyde dehydrogenase
malQ_1_malQ,4-alpha-glucanotransferase
group_5934,hypothetical protein
xerC_1_xerC_2_xerC_3,Tyrosine recombinase XerC
lpfC_fimD_1_fimD_2_fimD_3_elfC,hypothetical protein;putative outer membrane usher protein LpfC';Outer membrane usher protein FimD;putative outer membrane usher protein ElfC
katE_1_katE_2_katE,Catalase HPII
htpG_3_htpG_2,hypothetical protein;Chaperone protein HtpG
group_5929,hypothetical protein
group_5925,hypothetical protein
yciH,putative protein YciH
trmL_2_trmH_1_trmH_2,tRNA (cytidine(34)-2'-O)-methyltransferase;tRNA (guanosine(18)-2'-O)-methyltransferase;hypothetical protein
lpfD,putative minor fimbrial subunit LpfD;hypothetical protein
secA_1_secA_2_secA,Protein translocase subunit SecA
rcsD_rcsD_2_rcsD_1,Phosphotransferase RcsD;hypothetical protein
bcsC_2_bcsC_bcsC_1,Cellulose synthase operon protein C;hypothetical protein
norR_2_qseF,Anaerobic nitric oxide reductase transcription regulator NorR;Transcriptional regulatory protein QseF
malI_1_malI_2,Maltose regulon regulatory protein MalI
ychQ,Protein YchQ
yhfG,putative protein YhfG
rpsF,30S ribosomal protein S6
group_5913,hypothetical protein
fliG,hypothetical protein;Flagellar motor switch protein FliG
yhbO,Protein/nucleic acid deglycase 2
yjjX,Inosine/xanthosine triphosphatase
chb_1_chb_2_chb,Chitobiase;hypothetical protein
metI_2,hypothetical protein;D-methionine transport system permease protein MetI
rnhB,Ribonuclease HII
mreB,Cell shape-determining protein MreB
yehX,Glycine betaine uptake system ATP-binding protein YehX
phrB_1_phrB_phrB_2,Deoxyribodipyrimidine photo-lyase
group_5898,hypothetical protein
group_5892,hypothetical protein
rlmF_1_rlmF_2_rlmF,Ribosomal RNA large subunit methyltransferase F
aroK,Shikimate kinase 1
ruvC,Crossover junction endodeoxyribonuclease RuvC
yceD,Large ribosomal RNA subunit accumulation protein YceD
tadA,tRNA-specific adenosine deaminase
fldB,Flavodoxin 2
ribA_2_ribA,GTP cyclohydrolase-2
group_5888,hypothetical protein
gppA,hypothetical protein;Guanosine-5'-triphosphate3'-diphosphate pyrophosphatase
group_5885,hypothetical protein
group_5884,hypothetical protein
ycjM_1_ycjM_2_ycjM,Glucosylglycerate phosphorylase
yrfG,hypothetical protein;GMP/IMP nucleotidase YrfG
clsA,Cardiolipin synthase A
hiuH_1_hiuH_hiuH_2,5-hydroxyisourate hydrolase
licH,hypothetical protein;putative 6-phospho-beta-glucosidase
group_5868,hypothetical protein
group_5867,hypothetical protein
ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
rseB_1_rseB_2_rseB,Sigma-E factor regulatory protein RseB
group_5862,hypothetical protein
rseP,Regulator of sigma-E protease RseP
thiE,Thiamine-phosphate synthase
ftnA_1_ftnA_2,Bacterial non-heme ferritin;hypothetical protein;putative bacterial non-heme ferritin
fadH_fadH_1_fadH_2,24-dienoyl-CoA reductase;hypothetical protein
group_5854,hypothetical protein
group_5853,hypothetical protein
glpX_2_glpX_1_glpX,Fructose-16-bisphosphatase 1 class 2
proX_1_proX_2_proX,Glycine betaine/proline betaine-binding periplasmic protein
group_5850,hypothetical protein
nlpE,Lipoprotein NlpE
yaeQ,putative protein YaeQ
group_5847,hypothetical protein
group_5841,hypothetical protein
yhdE,dTTP/UTP pyrophosphatase
amtB_amtB_2,Ammonia channel;hypothetical protein
pdeD_2_pdeD_pdeD_1,putative cyclic di-GMP phosphodiesterase PdeD
lpoA,Penicillin-binding protein activator LpoA
pal_3,Peptidoglycan-associated lipoprotein
polA_2_polA_polA_1,DNA polymerase I
cdaR_2_cdaR_1_cdaR,Carbohydrate diacid regulator
group_5823,hypothetical protein
acrF_1_acrF_acrF_4_acrF_3_acrF_2_acrB_1_acrB_2,Multidrug export protein AcrF;hypothetical protein;Multidrug efflux pump subunit AcrB
yjjP,Inner membrane protein YjjP
anmK_2_anmK_1_anmK,Anhydro-N-acetylmuramic acid kinase
lptE,LPS-assembly lipoprotein LptE
grxB_2_grxB_1,Glutaredoxin 2;hypothetical protein
group_5813,hypothetical protein
cecR_1_cecR_2_cecR,HTH-type transcriptional dual regulator CecR
group_5803,hypothetical protein
rpsC,30S ribosomal protein S3
mtlR,Mannitol operon repressor
yggR_1_yggR_2_yggR,putative protein YggR
leuS_1_leuS_2_leuS,Leucine--tRNA ligase
artJ_artJ_1_artJ_2,ABC transporter arginine-binding protein 1
iscS_2_iscS_1_iscS,Cysteine desulfurase IscS
pxpB,5-oxoprolinase subunit B
pxpA_2_pxpA_pxpA_1,5-oxoprolinase subunit A
adeP,Adenine permease AdeP
moeB,Molybdopterin-synthase adenylyltransferase
tatA,Sec-independent protein translocase protein TatA
thiF,Sulfur carrier protein ThiS adenylyltransferase
rplS,hypothetical protein;50S ribosomal protein L19
feoC,putative [Fe-S]-dependent transcriptional repressor FeoC
flgF,hypothetical protein;Flagellar basal-body rod protein FlgF
fabI,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
modA,Molybdate-binding protein ModA;hypothetical protein
syd,Protein Syd
group_5792,hypothetical protein
aroC,Chorismate synthase
group_5787,hypothetical protein
kdsA_2_kdsA_1_kdsA,2-dehydro-3-deoxyphosphooctonate aldolase
yecD,hypothetical protein;Isochorismatase family protein YecD
group_5783,hypothetical protein
pepT_2_pepT_1,Peptidase T;hypothetical protein
yihP_2_yihP_1_yihP_3,Putative 23-dihydroxypropane-1-sulfonate exporter
group_5772,hypothetical protein
group_5770,hypothetical protein
argO,Arginine exporter protein ArgO
fhuD,Iron(3+)-hydroxamate-binding protein FhuD
yhaJ,HTH-type transcriptional regulator YhaJ
ybjM,Inner membrane protein YbjM
cysM,Cysteine synthase B
group_5766,hypothetical protein
rbn_1_rbn_2_rbn,Ribonuclease BN
eco,Ecotin
hslV,ATP-dependent protease subunit HslV
mdtK,Multidrug resistance protein MdtK
mprA,Transcriptional repressor MprA
dusC_dusC_1_dusC_2,tRNA-dihydrouridine(16) synthase
pcpR_2_nodD2_2,hypothetical protein;PCP degradation transcriptional activation protein;Nodulation protein D 2
yihD,Protein YihD
group_5761,hypothetical protein
rhaR_5,IS5 family transposase IS4811;hypothetical protein;HTH-type transcriptional activator RhaR
narJ,Nitrate reductase molybdenum cofactor assembly chaperone NarJ;hypothetical protein
group_5758,hypothetical protein
ampD,16-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
group_5756,hypothetical protein
yohF_2_yohF_1_yohF,putative oxidoreductase YohF
cdh,CDP-diacylglycerol pyrophosphatase
ybaL,Putative cation/proton antiporter YbaL;hypothetical protein
pspF,Psp operon transcriptional activator
sapB,Putrescine export system permease protein SapB
rseC,Protein RseC
group_5753,hypothetical protein
ybiI_ybiI_1_ybiI_2,putative protein YbiI
ybiB,putative protein YbiB
secF,Protein translocase subunit SecF
thiL,Thiamine-monophosphate kinase
trmJ,tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
suhB_2_suhB_1_suhB,Inositol-1-monophosphatase
ortT,Orphan toxin OrtT
tyrR,Transcriptional regulatory protein TyrR
ycjG,L-Ala-D/L-Glu epimerase;hypothetical protein
radA_2_radA_radA_1,DNA repair protein RadA;hypothetical protein
arcA_1_arcA_3_arcA_2,Arginine deiminase
msrP_1_msrP_2_msrP,Protein-methionine-sulfoxide reductase catalytic subunit MsrP
znuC,Zinc import ATP-binding protein ZnuC
puuP,Putrescine importer PuuP;hypothetical protein
mtr_1_mtr_mtr_2,Tryptophan-specific transport protein
oppB,Oligopeptide transport system permease protein OppB
malI_1,Maltose regulon regulatory protein MalI
frlA_frlA_2_frlA_1,hypothetical protein;putative fructoselysine/psicoselysine transporter FrlA
group_5741,hypothetical protein
pstS,hypothetical protein;Phosphate-binding protein PstS
group_5739,hypothetical protein
potD_2_potD_1_potD,Spermidine/putrescine-binding periplasmic protein
uvrA_1_uvrA_2_uvrA,UvrABC system protein A
truD,tRNA pseudouridine synthase D
thiM,Hydroxyethylthiazole kinase
ydcV_2,hypothetical protein;Inner membrane ABC transporter permease protein YdcV
group_5734,Oligosaccharide 4-alpha-D-glucosyltransferase;hypothetical protein;Alpha-xylosidase BoGH31A
exuT_1_exuT_4_exuT_2_exuT_3,Hexuronate transporter
murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--26-diaminopimelate ligase
pepA,hypothetical protein;Cytosol aminopeptidase
mshA_2_mshA_3,hypothetical protein;D-inositol-3-phosphate glycosyltransferase
group_5732,hypothetical protein
yhcB,Inner membrane protein YhcB
dcm_dcm_2,DNA-cytosine methyltransferase;IS1595 family transposase ISCco3
ompC_2_ompN,Outer membrane porin C;Outer membrane porin N
yceI_2_yceI_1_yceI,Protein YceI
group_5729,Deacetylase
mngB_1_mngB_mngB_2_mngB_3,Mannosylglycerate hydrolase;hypothetical protein
group_5728,hypothetical protein
group_5727,hypothetical protein
pdxB,Erythronate-4-phosphate dehydrogenase
osmX,Osmoprotectant-binding protein OsmX
yehY_2_yehY_yehY_1,Glycine betaine uptake system permease protein YehY
pheA,Bifunctional chorismate mutase/prephenate dehydratase
farB,hypothetical protein;Fatty acid resistance protein FarB
ycaD_2_ycaD_1_ycaD,putative MFS-type transporter YcaD
axe16A,hypothetical protein;Endo-14-beta-xylanase/feruloyl esterase;Carbohydrate acetyl esterase/feruloyl esterase
dsbB,Disulfide bond formation protein B
hemG,Protoporphyrinogen IX dehydrogenase [menaquinone]
rplF,50S ribosomal protein L6
rppH,RNA pyrophosphohydrolase
tag,DNA-3-methyladenine glycosylase 1
group_5720,hypothetical protein
yhjX,hypothetical protein;putative MFS-type transporter YhjX
mscK_2_mscK_1_mscK,Mechanosensitive channel MscK
csdA,Cysteine desulfurase CsdA
nudK_2_nudK_1,GDP-mannose pyrophosphatase NudK
group_5716,hypothetical protein
rtcB_2_rtcB_1_rtcB,RNA-splicing ligase RtcB
rne_1_rne_rne_2,hypothetical protein;Ribonuclease E
lolC,Lipoprotein-releasing system transmembrane protein LolC
lolE,Lipoprotein-releasing system transmembrane protein LolE
murC_1_murC_murC_2,UDP-N-acetylmuramate--L-alanine ligase
ftsA_2_ftsA_1_ftsA,Cell division protein FtsA;hypothetical protein
lamB_1_lamB_3,Maltoporin
sufD_1_sufD_sufD_2,FeS cluster assembly protein SufD
sufB_2_sufB_1_sufB,FeS cluster assembly protein SufB
group_5708,hypothetical protein
group_5707,hypothetical protein
pspG,Phage shock protein G
dmlR_3_dmlR_6,hypothetical protein;HTH-type transcriptional regulator DmlR
mtfA_2_mtfA_1_mtfA,Protein MtfA
astA,Arginine N-succinyltransferase
malF_2,Maltose/maltodextrin transport system permease protein MalF;hypothetical protein
ganB,Arabinogalactan endo-beta-14-galactanase;hypothetical protein
ung,Uracil-DNA glycosylase
mnmA,tRNA-specific 2-thiouridylase MnmA
cpxP,Periplasmic protein CpxP;hypothetical protein
serB,hypothetical protein;Phosphoserine phosphatase
yicJ_1,Inner membrane symporter YicJ
setA_2_setA_setA_1,Sugar efflux transporter A
group_5698,hypothetical protein
group_5697,hypothetical protein
group_5695,hypothetical protein
ycfH_1_ycfH_2_ycfH,putative metal-dependent hydrolase YcfH
rssA_sasA_1_envZ_2_sasA_2_creC_1,Swarming motility regulation sensor protein RssA;hypothetical protein;Adaptive-response sensory-kinase SasA;Osmolarity sensor protein EnvZ;Sensor protein CreC
lptB_2_lptB_1,hypothetical protein;Lipopolysaccharide export system ATP-binding protein LptB
viaA,Protein ViaA
exuT_2_exuT_1_exuT_3,Hexuronate transporter;hypothetical protein
dauA_1_dauA_3,hypothetical protein;C4-dicarboxylic acid transporter DauA
ubiD_1_ubiD_2_ubiD,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
group_5692,hypothetical protein
group_5691,hypothetical protein
hpt,Hypoxanthine phosphoribosyltransferase
proP_3_proP_1_proP_2,Proline/betaine transporter;hypothetical protein
ybiT_2_ybiT_1_ybiT,putative ABC transporter ATP-binding protein YbiT;hypothetical protein
oprM_oprJ,Outer membrane protein OprM;hypothetical protein;Outer membrane protein OprJ
ilvI_1_ilvI_2_ilvI,Acetolactate synthase isozyme 3 large subunit
group_5682,hypothetical protein
group_5680,hypothetical protein
eptA_2_eptA,Phosphoethanolamine transferase EptA;hypothetical protein
ydhF_ydhF_2_ydhF_1,Oxidoreductase YdhF
hcp_1_hcp,Hydroxylamine reductase;hypothetical protein
potE_1_potE_2_potE,Putrescine transporter PotE
yojI_1_yojI_yojI_2,ABC transporter ATP-binding/permease protein YojI
ada,Bifunctional transcriptional activator/DNA repair enzyme Ada
shlB,hypothetical protein;Hemolysin transporter protein ShlB
betA_betA_2_betA_1,Oxygen-dependent choline dehydrogenase;hypothetical protein
proS,Proline--tRNA ligase
ptsI,hypothetical protein;Phosphoenolpyruvate-protein phosphotransferase
group_5673,hypothetical protein;Trehalase
allS,hypothetical protein;HTH-type transcriptional activator AllS
glmS_1_glmS_2_glmS,Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
uvrC_1_uvrC_uvrC_2,hypothetical protein;UvrABC system protein C
dinG_1_dinG_2_dinG,ATP-dependent DNA helicase DinG
bglF_3_bglF_2_bglF_1,PTS system beta-glucoside-specific EIIBCA component
fadM,Long-chain acyl-CoA thioesterase FadM
kup,Low affinity potassium transport system protein kup
proP_1,hypothetical protein;Proline/betaine transporter
rluE,Ribosomal large subunit pseudouridine synthase E
speB_1_speB_2_speB,Agmatinase
nagE_2_nagE_nagE_1,PTS system N-acetylglucosamine-specific EIICBA component;hypothetical protein
pdeR_2_pdeR_1_pdeR,Cyclic di-GMP phosphodiesterase PdeR;hypothetical protein
cheA_2_cheA_1_cheA,Chemotaxis protein CheA;hypothetical protein
motB_2_motB_motB_1,Motility protein B
bioD1_1,ATP-dependent dethiobiotin synthetase BioD 1
glyQ_2_glyQ_1_glyQ,Glycine--tRNA ligase alpha subunit
pabA,Aminodeoxychorismate synthase component 2
yebF,Protein YebF
rafR,hypothetical protein;HTH-type transcriptional regulator RafR
sutR_1,hypothetical protein;HTH-type transcriptional regulator SutR
nrdD,hypothetical protein;Anaerobic ribonucleoside-triphosphate reductase
group_5661,hypothetical protein
fepA_fepA_2_fepA_1,Ferrienterobactin receptor
lon_2_lon_lon_1,hypothetical protein;Lon protease
clpX_1_clpX_2_clpX,ATP-dependent Clp protease ATP-binding subunit ClpX
feoB_2_feoB_feoB_1,Fe(2+) transporter FeoB;hypothetical protein
bisC_bisC_2_bisC_1_napA,Biotin sulfoxide reductase;hypothetical protein;Periplasmic nitrate reductase
surA_1_surA_surA_2,Chaperone SurA
ppiD,Peptidyl-prolyl cis-trans isomerase D
btuC_1_btuC_btuC_2,Vitamin B12 import system permease protein BtuC
rplE,50S ribosomal protein L5
glgC,Glucose-1-phosphate adenylyltransferase
fsaA,Fructose-6-phosphate aldolase 1
nanK_nanK_1_nanK_2,N-acetylmannosamine kinase
edcC_1_edcC_2_edcC,Phenolic acid decarboxylase;hypothetical protein
sohB_sohB_2,putative protease SohB;hypothetical protein
htrE_2_yraJ_3_htrE_1_htrE_htrE_3,Outer membrane usher protein HtrE;hypothetical protein;Outer membrane usher protein YraJ
gyrA,DNA gyrase subunit A;hypothetical protein
acnA_2_acnA_1_acnA,hypothetical protein;Aconitate hydratase A
malT_malT_2_malT_1,HTH-type transcriptional regulator MalT;hypothetical protein
prn_tibA,hypothetical protein;Pertactin autotransporter;Adhesin/invasin TibA autotransporter
group_5650,hypothetical protein
rocC_2_rocC_1_rocC,hypothetical protein;Amino-acid permease RocC
dapB,4-hydroxy-tetrahydrodipicolinate reductase;hypothetical protein
puuC_puuC_1,NADP/NAD-dependent aldehyde dehydrogenase PuuC;hypothetical protein
nuoI,NADH-quinone oxidoreductase subunit I
trkA,Trk system potassium uptake protein TrkA;hypothetical protein
ppiA,Peptidyl-prolyl cis-trans isomerase A
livH_2,hypothetical protein;High-affinity branched-chain amino acid transport system permease protein LivH
nusG,Transcription termination/antitermination protein NusG
oxyR_3_argP_2,Hydrogen peroxide-inducible genes activator;hypothetical protein;HTH-type transcriptional regulator ArgP
hslR,Heat shock protein 15
rbfA,30S ribosome-binding factor
group_5603,hypothetical protein
ydcU,Inner membrane ABC transporter permease protein YdcU
crcB,Putative fluoride ion transporter CrcB
fliZ,Regulator of sigma S factor FliZ
dgoK1,putative 2-dehydro-3-deoxygalactonokinase DgoK1
gpr,L-glyceraldehyde 3-phosphate reductase
ybbH,putative HTH-type transcriptional regulator YbbH
ecdB,putative UbiX-like flavin prenyltransferase
nhaP2_cvrA,K(+)/H(+) antiporter NhaP2
glcR_glpR_1,HTH-type transcriptional repressor GlcR;hypothetical protein;Glycerol-3-phosphate regulon repressor
lpxP_1_lpxP_lpxP_2,Lipid A biosynthesis palmitoleoyltransferase
ywrO_2,General stress protein 14
mutS2,Endonuclease MutS2
ydjA,Putative NAD(P)H nitroreductase YdjA
seqA,Negative modulator of initiation of replication
apt,Adenine phosphoribosyltransferase
mlaD,Intermembrane phospholipid transport system binding protein MlaD
group_5575,hypothetical protein
dgcQ_1_dgcQ_dgcQ_2,hypothetical protein;putative diguanylate cyclase DgcQ
group_5572,hypothetical protein
yqaB,Fructose-1-phosphate phosphatase YqaB
group_5569,hypothetical protein
group_5567,hypothetical protein
yhjJ,Protein YhjJ
dapF,Diaminopimelate epimerase
kdpA_2_kdpA_kdpA_1,Potassium-transporting ATPase potassium-binding subunit
group_5552,hypothetical protein
group_5547,hypothetical protein;putative protein
eamA,putative amino-acid metabolite efflux pump;hypothetical protein
priA_1_priA_2_priA,Primosomal protein N'
yedP,Mannosyl-3-phosphoglycerate phosphatase;hypothetical protein
ydgJ_1_ydgJ_2_ydgJ,putative oxidoreductase YdgJ
puuR,HTH-type transcriptional regulator PuuR
frr,Ribosome-recycling factor
group_5529,hypothetical protein
group_5528,hypothetical protein
rsmF,Ribosomal RNA small subunit methyltransferase F;hypothetical protein
group_5525,hypothetical protein
chaC,Glutathione-specific gamma-glutamylcyclotransferase
rimM,Ribosome maturation factor RimM
fhuA_2_fhuA_1_fhuA_4,hypothetical protein;Ferrichrome outer membrane transporter/phage receptor
rnd,Ribonuclease D;hypothetical protein
mtgA_mtgA_1_mtgA_2,Biosynthetic peptidoglycan transglycosylase
group_5512,hypothetical protein
rsmJ,Ribosomal RNA small subunit methyltransferase J
pdeC_1_pdeC_2_pdeC_pdeC_3,putative cyclic di-GMP phosphodiesterase PdeC
speG,Spermidine N(1)-acetyltransferase
rep_1_rep_rep_2,ATP-dependent DNA helicase Rep
yceB,putative lipoprotein YceB
gmhB,D-glycero-beta-D-manno-heptose-17-bisphosphate 7-phosphatase
group_5494,hypothetical protein
group_5487,hypothetical protein
nuoL_2_nuoL_1_nuoL,NADH-quinone oxidoreductase subunit L
group_5478,hypothetical protein
lamB_2_lamB_3_lamB_1,Maltoporin
thiH,2-iminoacetate synthase
elaA_1_elaA_2_elaA,Protein ElaA
rpmA,50S ribosomal protein L27
tig,Trigger factor
nadD,Nicotinate-nucleotide adenylyltransferase
ybjP,putative lipoprotein YbjP
ygeA,L-aspartate/glutamate-specific racemase
nasD,Nitrite reductase [NAD(P)H]
ygfA,5-formyltetrahydrofolate cyclo-ligase;hypothetical protein
mntP,putative manganese efflux pump MntP
nuoJ,NADH-quinone oxidoreductase subunit J
ahpC,Alkyl hydroperoxide reductase C
uspA,hypothetical protein;Universal stress protein A
ftnA_2_ftnA_1,Bacterial non-heme ferritin
iscX,Protein IscX
yeeA,Inner membrane protein YeeA
betI_2_betI_1_betI_3,hypothetical protein;HTH-type transcriptional regulator BetI
group_5453,hypothetical protein
